id,name,scientificName,category,image,difficulty,waterTemperature,phLevel,tankSize,housingMode
1,巴西龟,Trachemys scripta elegans,龟类,https://upload.wikimedia.org/wikipedia/commons/9/96/RedEaredSlider.jpg,Easy,20-30°C,6.5-8.0,至少 200 升,建议单养
2,草龟,Chinemys reevesii,龟类,https://upload.wikimedia.org/wikipedia/commons/3/33/Mauremys_reevesii.jpg,Easy,20-28°C,7.0-8.0,至少 200 升,建议单养
3,花龟,Mauremys sinensis,龟类,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Chinese_stripe-necked_turtle_%28Mauremys_sinensis%29_Bach_Ma.jpg/1280px-Chinese_stripe-necked_turtle_%28Mauremys_sinensis%29_Bach_Ma.jpg,Easy,22-30°C,7.0-8.0,至少 200 升,建议单养
4,剃刀麝香龟,Sternotherus carinatus,龟类,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/RazorBackMuskTurtle.jpg/1280px-RazorBackMuskTurtle.jpg,Easy,22-28°C,6.5-7.5,至少 100 升,建议单养
5,巨蛋麝香龟,Staurotypus salvinii,龟类,https://upload.wikimedia.org/wikipedia/commons/7/7a/Staurotypus_salvinii.jpg,Medium,23-28°C,6.5-7.5,至少 200 升,建议单养
6,猪鼻龟,Carettochelys insculpta,龟类,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Carettochelys_insculpta_01.JPG/1280px-Carettochelys_insculpta_01.JPG,Hard,26-30°C,7.5-8.5,至少 200 升,建议单养
7,蛋龟 (密西西比),Sternotherus odoratus,龟类,https://upload.wikimedia.org/wikipedia/commons/4/4f/Sternotherus_odoratus.jpg,Easy,20-28°C,6.5-7.5,至少 100 升,建议单养
8,斑马螺,Neritina natalensis,螺类,/species-transparent/base_missing_005_sheet_03_斑马螺_Neritina_natalensis.png?v=cutfix_20260510,Easy,22-26°C,7.0-8.5,至少 30 升,谨慎混养
9,神秘螺,Pomacea bridgesii,螺类,/species-transparent/base_missing_005_sheet_09_神秘螺_Pomacea_bridgesii.png?v=cutfix_20260510,Easy,20-28°C,7.0-8.0,至少 30 升,谨慎混养
10,鲍鱼螺,Septaria porcellana,螺类,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Septaria_porcellana_01.jpg/1280px-Septaria_porcellana_01.jpg,Easy,20-28°C,7.0-8.5,至少 30 升,谨慎混养
11,杀手螺,Anentome helena,螺类,/species-transparent/base_missing_001_sheet_04_杀手螺_Anentome_helena.png?v=cutfix_20260510,Easy,22-26°C,7.0-8.0,至少 30 升,谨慎混养
12,小精灵鱼,Otocinclus vittatus,鲶鱼/异型,https://upload.wikimedia.org/wikipedia/commons/9/95/Otocinclus_vittatus.jpg,Medium,21-26°C,6.0-7.5,至少 30 升,适合混养
13,胡子鱼,Ancistrus sp.,鲶鱼/异型,https://upload.wikimedia.org/wikipedia/commons/8/8d/Bristlenose_Catfish_700.jpg,Easy,22-27°C,6.0-7.5,至少 100 升,适合混养
14,黑壳虾,Neocaridina denticulata,虾类,https://upload.wikimedia.org/wikipedia/commons/f/f3/Cherry_Shrimp_Neocaridina_davidi.jpg,Easy,15-28°C,6.5-7.5,至少 30 升,谨慎混养
15,大和藻虾,Caridina multidentata,虾类,/species-transparent/base_missing_002_sheet_02_大和藻虾_Caridina_multidentata.png?v=cutfix_20260510,Medium,10-28°C,6.5-7.5,至少 30 升,适合混养
16,极火虾 (米虾),Neocaridina davidi,虾类,https://upload.wikimedia.org/wikipedia/commons/f/f3/Cherry_Shrimp_Neocaridina_davidi.jpg,Easy,18-28°C,6.5-8.0,至少 30 升,谨慎混养
17,水晶虾 (蜂虾),Caridina cf. cantonensis,虾类,https://upload.wikimedia.org/wikipedia/commons/6/6f/Crystal_Red_Shrimp.jpg,Hard,22-25°C,6.0-6.8,至少 30 升,谨慎混养
18,苏拉威西虾 (白袜),Caridina dennerli,虾类,https://upload.wikimedia.org/wikipedia/commons/f/fb/Caridina-dennerli.jpg,Hard,26-30°C,7.5-8.5,至少 30 升,谨慎混养
19,长额体虾 (草虾),Palaemonetes sinensis,虾类,https://upload.wikimedia.org/wikipedia/commons/2/22/Palaemonetes_sinensis.jpg,Easy,10-28°C,7.0-8.0,至少 30 升,谨慎混养
20,网球虾,Atyopsis moluccensis,虾类,https://upload.wikimedia.org/wikipedia/commons/f/f1/Atyopsis_moluccensis.jpg,Medium,22-28°C,6.5-7.5,至少 100 升,谨慎混养
21,非洲过滤虾,Atya gabonensis,虾类,https://upload.wikimedia.org/wikipedia/commons/2/25/Atya_gabonensis.jpg,Medium,22-28°C,6.5-7.5,至少 100 升,谨慎混养
22,螯虾 (佛蓝),Procambarus alleni,虾类,https://upload.wikimedia.org/wikipedia/commons/1/1a/Procambarus_alleni.jpg,Easy,18-28°C,7.0-8.5,至少 100 升,谨慎混养
23,迷你对虾 (小橘螯),Cambarellus patzcuarensis,虾类,https://upload.wikimedia.org/wikipedia/commons/b/b3/Cambarellus_patzcuarensis.jpg,Easy,20-25°C,7.0-8.0,至少 30 升,谨慎混养
24,公子小丑,Amphiprion ocellaris,海水鱼,/species-transparent/batch_004_species_sheet_03_公子小丑_Amphiprion_ocellaris.png?v=cutfix_20260510,Easy,24-27°C,8.1-8.4,至少 30 升,谨慎混养
25,黄三角吊,Zebrasoma flavescens,海水鱼,https://upload.wikimedia.org/wikipedia/commons/c/c8/Zebrasoma_flavescens_01.jpg,Medium,24-28°C,8.1-8.4,至少 100 升,谨慎混养
26,蓝吊 (多莉),Paracanthurus hepatus,海水鱼,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Paletten-Doktorfisch_M%C3%BCnster.JPG/1280px-Paletten-Doktorfisch_M%C3%BCnster.JPG,Medium,24-27°C,8.1-8.4,至少 200 升,谨慎混养
27,火焰仙,Centropyge loricula,海水鱼,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flame_Angelfish_(Centropyge_loricula).jpg,Hard,24-27°C,8.1-8.4,至少 100 升,谨慎混养
28,长鼻狮子鱼,Pterois volitans,海水鱼,/species-transparent/batch_004_species_sheet_07_长鼻狮子鱼_Pterois_volitans.png?v=cutfix_20260510,Medium,23-26°C,8.1-8.4,至少 200 升,建议单养
29,青魔,Chromis viridis,海水鱼,https://upload.wikimedia.org/wikipedia/commons/1/1d/Chromis_viridis.jpg,Easy,24-28°C,8.1-8.4,至少 30 升,谨慎混养
30,六线龙,Pseudocheilinus hexataenia,海水鱼,https://upload.wikimedia.org/wikipedia/commons/2/21/Pseudocheilinus_hexataenia_M_St_Pauls_Rocks.jpg,Easy,24-27°C,8.1-8.4,至少 30 升,谨慎混养
31,雷达鱼,Nemateleotris magnifica,海水鱼,https://upload.wikimedia.org/wikipedia/commons/5/52/Nemateleotris_magnifica_2.jpg,Medium,23-28°C,8.1-8.4,至少 30 升,谨慎混养
32,尖嘴红格,Neocirrhites armatus,海水鱼,https://upload.wikimedia.org/wikipedia/commons/2/20/Flame_Hawkfish_%28Neocirrhites_armatus%29.jpg,Easy,24-27°C,8.1-8.4,至少 30 升,谨慎混养
33,蓝闪电神仙,Centropyge bicolor,海水鱼,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Bicolor_angelfish_%28Centropyge_bicolor%29_%2840856469565%29_%28cropped%29.jpg/1280px-Bicolor_angelfish_%28Centropyge_bicolor%29_%2840856469565%29_%28cropped%29.jpg,Hard,24-27°C,8.1-8.4,至少 100 升,谨慎混养
34,毕加索炮弹,Rhinecanthus aculeatus,海水鱼,https://upload.wikimedia.org/wikipedia/commons/1/10/Rhinecanthus_aculeatus.jpg,Easy,23-27°C,8.1-8.4,至少 200 升,谨慎混养
35,紫雷达,Nemateleotris decora,海水鱼,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Nemateleotris_decora.jpg/1280px-Nemateleotris_decora.jpg,Medium,23-28°C,8.1-8.4,至少 30 升,谨慎混养
36,黄尾蓝魔,Chrysiptera parasema,海水鱼,https://upload.wikimedia.org/wikipedia/commons/1/18/Chrysiptera_parasema.JPG,Easy,24-28°C,8.1-8.4,至少 30 升,谨慎混养
37,医生鱼,Labroides dimidiatus,海水鱼,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/L%C3%A1brido_limpiador_com%C3%BAn_%28Labroides_dimidiatus%29%2C_mar_Rojo%2C_Egipto%2C_2023-04-17%2C_DD_90.jpg/1280px-L%C3%A1brido_limpiador_com%C3%BAn_%28Labroides_dimidiatus%29%2C_mar_Rojo%2C_Egipto%2C_2023-04-17%2C_DD_90.jpg,Hard,24-27°C,8.1-8.4,至少 100 升,谨慎混养
38,倒吊王,Acanthurus lineatus,海水鱼,https://upload.wikimedia.org/wikipedia/commons/6/66/Acanthurus_lineatus_Reunion.jpg,Hard,24-28°C,8.1-8.4,至少 200 升,谨慎混养
