species_id,common_name,scientific_name,category,feeding_source,feeding_confidence,feeding_uses_template,feeding_needs_review,feeding_review_reason,feeding_source_url,feeding_source_fields,housing_mode,housing_reason,housing_reason_shared_count,housing_only_category_reference,missing_species_specific_care
sp_0001,极火虾,Neocaridina davidi var. Red,虾螺蟹,rule_fallback,0.78,yes,yes,未匹配到物种专属喂养资料，当前仅提供类别通用参考,,,谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,yes
sp_0002,水晶虾,Caridina cantonensis var.,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Caridina+cantonensis+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0003,苏拉威西虾,Caridina dennerli,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Caridina+dennerli+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0004,洋葱螺,Vittina turrita,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Vittina+turrita+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0005,角螺,Clithon corona,虾螺蟹,rule_fallback,0.78,yes,yes,未匹配到物种专属喂养资料，当前仅提供类别通用参考,,,谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,yes
sp_0006,恶魔蟹,Geosesarma dennerle,虾螺蟹,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Geosesarma+dennerle+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,yes
sp_0007,六角恐龙,Ambystoma mexicanum,两栖/爬宠,aquapedia_master_v2.csv+rules+amphibian_care_template,0.82,yes,yes,特殊类群需复核；存在特殊喂养关键词,https://www.google.com/search?q=Ambystoma+mexicanum+care+sheet+feeding,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,两栖/爬宠与观赏鱼的环境需求和捕食风险差异较大，容易咬伤或吞食小鱼，建议单独饲养。,3,yes,yes
sp_0008,东方蝾螈,Cynops orientalis,两栖/爬宠,aquapedia_master_v2.csv+rules+amphibian_care_template,0.80,yes,yes,特殊类群需复核；存在特殊喂养关键词,https://www.google.com/search?q=Cynops+orientalis+care+sheet+feeding,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,两栖/爬宠与观赏鱼的环境需求和捕食风险差异较大，容易咬伤或吞食小鱼，建议单独饲养。,3,yes,yes
sp_0009,角蛙,Ceratophrys ornata,两栖/爬宠,aquapedia_master_v2.csv+rules+amphibian_care_template,0.78,yes,yes,特殊类群需复核；存在特殊喂养关键词,https://www.google.com/search?q=Ceratophrys+ornata+care+sheet+feeding,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,两栖/爬宠与观赏鱼的环境需求和捕食风险差异较大，容易咬伤或吞食小鱼，建议单独饲养。,3,yes,yes
sp_0010,黑裙鱼,Gymnocorymbus ternetzi,灯科鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Gymnocorymbus+ternetzi+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,no
